Date,Product,Category,Region,Salesperson,CustomerSegment,Quantity,SalesAmount,Profit,Target
2024-11-18,Printer,Accessories,North,Arun,Corporate,5,715,145.81983138821144,719.3452812708542
2024-05-17,Keyboard,Accessories,North,Rahul,Corporate,3,4281,430.1032955540678,4442.073253476629
2024-04-10,Headphones,Accessories,East,Arun,Home Office,5,5250,1086.2735661192808,4901.917992405648
2024-04-03,Headphones,Accessories,West,Arun,Home Office,10,1760,330.2251530369254,1641.439284239688
2024-04-29,Tablet,Electronics,South,Priya,Corporate,1,1360,281.26894503117853,1255.8607417337155
2023-04-29,Phone,Electronics,North,Karan,Corporate,9,11358,2810.816977124603,11504.147415676947
2024-12-08,Laptop,Electronics,East,Meena,Home Office,3,2085,609.8501130731954,2206.613442219719
2024-06-27,Keyboard,Accessories,West,Sneha,Consumer,3,1338,365.2622907273968,1205.6926794758328
2023-11-09,Phone,Electronics,West,Karan,Home Office,6,6630,1859.414558873466,6515.301223721223
2023-05-11,Mouse,Accessories,East,Karan,Home Office,4,5968,1626.3100347151676,6095.716513508351
2024-06-25,Headphones,Accessories,West,Rahul,Home Office,3,1992,328.8876453427558,1844.0667547093442
2023-08-29,Headphones,Accessories,West,Sneha,Corporate,6,8172,965.1401859825835,8505.635271124736
2024-05-08,Keyboard,Accessories,North,Arun,Home Office,4,3020,803.819414654504,3179.5273793841566
2024-11-29,Mouse,Accessories,South,Karan,Consumer,3,2331,291.81854019553185,2292.8365143391034
2023-06-15,Monitor,Electronics,East,Rahul,Home Office,4,2472,518.1968033548924,2328.6916547995615
2023-05-10,Printer,Accessories,North,Sneha,Home Office,10,13390,3268.0089679106873,13456.183384243603
2024-05-04,Tablet,Electronics,South,Meena,Corporate,1,851,85.35782785959054,812.4121124026564
2023-06-11,Printer,Accessories,North,Sneha,Home Office,5,4795,1127.3123981590256,4492.109866147899
2024-11-14,Tablet,Electronics,East,Meena,Corporate,4,3168,444.85883994005843,3147.653896457355
2023-01-04,Headphones,Accessories,West,Arun,Corporate,9,10809,2595.350372897519,11275.448288295007
2023-02-14,Mouse,Accessories,East,Sneha,Corporate,9,2583,534.4562857147063,2589.189130946437
2023-10-12,Monitor,Electronics,South,Rahul,Consumer,10,11400,3290.0299437378585,11615.892378513701
2024-04-07,Printer,Accessories,West,Priya,Corporate,2,2848,313.1182486700216,2968.2195970243906
2023-07-11,Tablet,Electronics,North,Priya,Home Office,2,134,37.92401635930668,127.07471954249101
2023-07-27,Monitor,Electronics,West,Sneha,Corporate,4,4160,994.3416927146399,3835.2986707550835
2024-11-12,Mouse,Accessories,East,Sneha,Home Office,3,1512,278.61478304058653,1557.850584909549
2023-01-20,Keyboard,Accessories,South,Meena,Corporate,9,2799,624.4733971065781,2608.4967210491845
2024-12-31,Monitor,Electronics,North,Sneha,Consumer,8,4120,912.0632615204022,4066.4559105741805
2024-01-18,Headphones,Accessories,South,Meena,Home Office,2,1482,257.12284398553334,1392.3542364404123
2023-11-22,Printer,Accessories,East,Rahul,Corporate,8,6680,1045.589924676602,6427.440860810268
2024-08-20,Headphones,Accessories,West,Priya,Corporate,7,2912,665.0657038355281,2881.6413729571536
2023-02-27,Tablet,Electronics,West,Arun,Corporate,8,1464,401.49959527732267,1455.0181735544347
2024-11-02,Keyboard,Accessories,West,Sneha,Home Office,10,13240,2586.008090429304,12761.323858250502
2023-07-03,Phone,Electronics,East,Rahul,Corporate,9,12897,2549.590928298231,11806.549649171495
2024-11-15,Keyboard,Accessories,East,Karan,Corporate,9,6399,1486.57050700757,6934.654359861961
2023-02-15,Monitor,Electronics,East,Karan,Consumer,4,3520,637.9896440577602,3822.9023610646627
2024-08-01,Laptop,Electronics,South,Karan,Home Office,7,4921,936.9222284950026,4948.076686980695
2024-07-18,Headphones,Accessories,North,Meena,Home Office,7,7798,1073.025981962247,7858.605097390864
2023-04-29,Laptop,Electronics,South,Priya,Consumer,10,6380,933.2791804744817,5843.7861367991045
2024-07-29,Mouse,Accessories,West,Karan,Corporate,8,6936,1648.5353809295148,6676.391642142419
2023-10-14,Monitor,Electronics,West,Rahul,Consumer,2,1870,508.68897094220966,1762.4541633161573
2023-03-14,Monitor,Electronics,North,Arun,Consumer,9,9369,1332.6603991191803,9352.982514828445
2023-06-25,Printer,Accessories,South,Priya,Home Office,10,14000,3089.024073683758,13771.11141199635
2024-02-24,Keyboard,Accessories,West,Arun,Corporate,7,7756,915.6463831075113,8473.720829887712
2023-05-05,Mouse,Accessories,West,Priya,Home Office,5,3775,841.5606573950904,3632.283443861164
2023-04-14,Laptop,Electronics,South,Priya,Consumer,10,7210,1891.9057031220088,6968.951373096708
2023-04-14,Monitor,Electronics,South,Sneha,Home Office,1,954,260.9799672674881,866.2982718079389
2023-08-16,Tablet,Electronics,North,Rahul,Corporate,5,3000,813.2083080696755,3293.521284269727
2024-04-12,Mouse,Accessories,South,Meena,Corporate,6,2370,397.8007555209044,2382.904055309034
2023-12-05,Mouse,Accessories,North,Sneha,Corporate,8,9184,1051.5361689148613,8382.602167867559
2024-10-09,Mouse,Accessories,East,Arun,Home Office,2,154,30.4680372410788,156.82154582983034
2023-08-27,Mouse,Accessories,West,Priya,Home Office,1,899,241.40082035072658,927.8958128743919
2023-07-25,Phone,Electronics,East,Rahul,Home Office,10,540,63.25492396209003,530.1784617044032
2024-09-11,Keyboard,Accessories,South,Rahul,Consumer,9,5670,1037.3429402551533,6200.150491406768
2023-09-25,Keyboard,Accessories,North,Karan,Consumer,8,9992,2529.5074737766813,9973.027852828656
2024-06-30,Printer,Accessories,South,Sneha,Corporate,5,1315,289.3824885876174,1291.3229959576474
2024-06-05,Laptop,Electronics,North,Rahul,Corporate,6,2874,514.1661170954327,2985.595698876616
2023-08-03,Mouse,Accessories,North,Meena,Consumer,2,1972,571.80123562584,1904.9670509483983
2024-09-18,Mouse,Accessories,East,Arun,Consumer,7,5355,1605.5863930086607,5176.176148257256
